# Created by Octave 4.2.1, Thu Jul 27 15:14:51 2017 GMT <unknown@unknown>
# name: a
# type: matrix
# rows: 49
# columns: 12
 1957 15.19058169948141 21.17154887276689 9.701518617722344 -1744878.472141308 14.04453325676225 16.29994434609775 4.609791887519897 -69.8210334090213 15.09440574754547 -6.069282369090468 -6.357969220943875
 1958 17.3 24.3 11.2 -1511808.72003113 12.3 73 0 26 9 0 0
 1965 19.85826292322229 27.65915789417706 13.01218677399231 -428498.4363243092 11.34240007309058 129.9736894878158 -5.380255892632631 128.2582591631567 10.20806724097933 5.793405897768174 7.278061529082795
 1967 18.56629879675002 25.56872932312834 12.0824886059261 -263439.736020187 12.5802000234934 96.83297162108366 -1.93936796548906 69.90872615958604 16.34830732745764 1.862166181425485 3.68937692006234
 1968 17.9 24.5 11.6 -199696.5495151402 13.1 82 0 42 19 0 2
 1973 16.9 22.8 10.8 -26520.19782001699 11.9 105 7 42 17 0 3
 1974 17.4 23.6 11.1 -13586.4839100085 11.3 137 7 80 18 5 5
 1975 17.3 23.7 10.9 -5417.835564003398 13.1 146 6 82 32 12 3
 1976 17 23.4 10.7 -956.2013910008495 13.4 116 4 53 15 1 3
 1977 17.7 24.2 11.5 856.47 14 114 3 44 13 0 2
 1978 16.7 23.2 11.2 1078.23 12 105 0 53 21 0 0
 1979 16.8 24.7 10.1 767.13 11.6 115 3 44 11 0 0
 1980 17.7 25.6 10.4 784.37 12.2 99 5 52 20 0 3
 1981 17 25 10.5 1087.69 11.1 108 1 50 25 0 3
 1982 16.8656977454506 24.71312186983784 10.75044181441706 1159.482237005947 11.50085332604386 104.2997964471424 -1.175653047790422 52.73651507298392 19.18472550490196 -0.0120094333920301 4.026838655114441
 1983 17 24.4 11 1108.97 12.2 100 0 53 14 0 4
 1984 16.8 23.7 11.2 1100.61 11.6 116 2 47 18 0 1
 1985 17.5 24 12.2 900.9204543387634 12 126 0 64 21 0 1
 1986 17.75632610812479 24.2628911810747 12.25759605742222 641.984854971877 12.90879285395014 117.8949309819261 0.581963101769476 70.20386164684729 17.31269328749717 0.9953997522287472 2.431142414556543
 1987 17.4 24.4 11.3 579.9 12.1 102 2 61 13 1 3
 1988 17.2 24.9 10.5 704.3 10.3 88 1 53 13 0 2
 1989 18.1 25.8 11.6 589.52 13.7 84 0 67 13 3 2
 1990 17.5 25.2 11.5 1072.15 11.3 118 0 55 21 0 2
 1991 17.4 25.1 11.6 741.92 12.2 109 0 64 27 0 1
 1992 17 24.1 11.3 1284.21 13.3 110 0 66 15 1 2
 1993 17.1 25.1 10.9 1099.8 13 93 0 62 10 0 1
 1994 17.9 25.6 12 714.75 13.2 88 0 58 12 0 0
 1995 17.8 26.1 10.8 551.17 13.3 81 1 54 6 1 0
 1996 17.6 25.4 11 1422.69 13.4 105 1 70 13 0 1
 1997 17.9 25.7 11.8 916.41 13 104 0 66 10 1 1
 1998 16.8 24.1 11 705.6 12.6 103 0 52 21 1 1
 1999 16.9 24.3 11 763.3887923187203 11.9 115 0 56 28 0 1
 2000 16.7 24.2 10.9 871.0983879154275 12.6 125 1 49 19 0 2
 2001 17.4 24.8 11.8 976.8665873527743 12.9 132 0 58 23 0 4
 2002 17.72602771425511 25.28142378904383 11.82797491452973 1028.831191193414 13.40533136901395 126.2406182447349 -0.3656882783467592 60.61036992303281 28.14860588168606 -0.01605602006927353 6.108347771011463
 2003 17.6 25.4 11.4 975.13 13.7 110 0 55 24 0 5
 2004 17.6 25.5 11.5 821.9299999999999 13.4 91 0 49 11 0 0
 2005 18.16402478745779 26.19140332343953 11.80888474522177 750.9117833422779 13.71925982012321 81.44785014038627 -0.8106333589516193 47.24060142224624 9.887574611174768 -0.001034588179324865 -0.2725622985227361
 2006 18 26.1 11.6 775.3725808890572 13.9 93 0 53 19 0 1
 2007 16.8 24.8 10.9 852.0064867646977 13.1 115 3 61 25 0 0
 2008 17.9 25.9 11.6 937.5075950935586 12.8 93 2 51 12 0 2
 2009 18.4 26.8 11.9 988.5700000000001 13.9 96 1 53 9 0 3
 2010 17.4 25.5 11.3 975.5223905925144 13.2 112 1 54 17 0 2
 2011 17.9 26.3 11.6 923.2318359161279 13.6 100 1 49 20 0 2
 2012 18.2 26.5 11.8 870.2 13.9 101 1 64 13 0 2
 2013 17.2 26.1 9.800000000000001 848.1649043026455 13.8 99 0 57 12 0 3
 2014 17.1 25.8 10.2 861.8099999999999 13.3 112 0 58 30 0 0
 2015 17.2 25.6 10.9 909.0550956973544 11.9 122 0 72 21 0 1
 2016 16.3 24.8 9.699999999999999 987.8200000000001 11.9 131 1 62 28 0 0.9999999999999996


